City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,mto wa mbu,TZ,72.3,light rain,-3.35,35.85,Fanaka Safaris Campsite & Lodges
2,yulara,AU,82.4,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
3,faanui,PF,82.13,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
4,hobyo,SO,86.92,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
5,hithadhoo,MV,83.08,few clouds,-0.6,73.0833,Scoop Guest House
6,praia,CV,71.6,clear sky,14.9215,-23.5087,LT Aparthotel
11,itarema,BR,76.01,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
12,hermanus,ZA,73.99,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
13,cape town,ZA,72.0,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
14,maumere,ID,84.67,clear sky,-8.6199,122.2111,Sylvia Hotel
15,saint-philippe,RE,84.2,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
20,qinzhou,CN,77.05,overcast clouds,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
22,puerto ayora,EC,73.0,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
24,cayenne,GF,75.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
26,port alfred,ZA,70.47,scattered clouds,-33.5906,26.891,The Halyards Hotel
28,rikitea,PF,77.92,light rain,-23.1203,-134.9692,Pension Maro'i
31,labuhan,ID,85.77,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
32,georgetown,MY,91.4,scattered clouds,5.4112,100.3354,Cititel Penang
34,atuona,PF,81.09,broken clouds,-9.8,-139.0333,Villa Enata
35,avarua,CK,75.2,broken clouds,-21.2078,-159.775,Paradise Inn
36,celestun,MX,79.27,clear sky,20.8667,-90.4,Posada Lilia
43,meulaboh,ID,85.28,broken clouds,4.1363,96.1285,Kost Pria
50,mangochi,MW,73.35,overcast clouds,-14.4782,35.2645,Fort Johnstone Hotel
55,busselton,AU,75.99,clear sky,-33.65,115.3333,Observatory Guest House
66,port hedland,AU,89.6,broken clouds,-20.3167,118.5667,The Esplanade Hotel
70,butaritari,KI,82.54,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
72,matara,LK,86.61,few clouds,5.9485,80.5353,Amaloh Boutique Resort
73,bredasdorp,ZA,75.2,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
74,vaini,TO,73.4,few clouds,-21.2,-175.2,Keleti Beach Resort
75,souillac,MU,82.4,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
77,bengkulu,ID,82.65,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
82,caravelas,BR,71.91,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
86,sabzevar,IR,84.2,few clouds,36.2126,57.6819,پزشکی قانونی سبزوار
87,buta,CD,88.83,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
93,karratha,AU,87.3,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
96,jardim,BR,73.09,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
97,mahebourg,MU,82.4,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
100,buala,SB,80.17,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
106,padang,ID,87.8,few clouds,-0.9492,100.3543,Mercure Padang
108,chikwawa,MW,73.4,scattered clouds,-16.0335,34.8009,Thawale Lodge
109,presidencia roque saenz pena,AR,78.01,clear sky,-26.7852,-60.4388,Hotel Gualok
110,sayyan,YE,72.0,few clouds,15.1718,44.3244,متنزه و بحيرة سيان
112,dicabisagan,PH,78.67,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
114,san carlos,VE,76.91,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
