,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,mto wa mbu,TZ,-3.35,35.85,72.3,84,95,3.44,light rain
1,ahipara,NZ,-35.1667,173.1667,66.65,96,35,3.06,scattered clouds
2,yulara,AU,-25.2406,130.9889,82.4,32,5,11.5,clear sky
3,faanui,PF,-16.4833,-151.75,82.13,72,100,8.81,overcast clouds
4,hobyo,SO,5.3505,48.5268,86.92,54,81,12.75,broken clouds
5,hithadhoo,MV,-0.6,73.0833,83.08,71,18,9.84,few clouds
6,praia,CV,14.9215,-23.5087,71.6,53,0,17.27,clear sky
7,punta arenas,CL,-53.15,-70.9167,46.4,66,0,13.8,clear sky
8,port elizabeth,ZA,-33.918,25.5701,64.4,82,0,5.75,clear sky
9,severo-kurilsk,RU,50.6789,156.125,31.01,94,100,18.48,light snow
10,ushuaia,AR,-54.8,-68.3,42.8,70,75,20.71,light rain
11,itarema,BR,-2.9248,-39.9167,76.01,89,82,11.34,broken clouds
12,hermanus,ZA,-34.4187,19.2345,73.99,67,100,1.01,overcast clouds
13,cape town,ZA,-33.9258,18.4232,72.0,82,0,3.44,clear sky
14,maumere,ID,-8.6199,122.2111,84.67,68,0,4.45,clear sky
15,saint-philippe,RE,-21.3585,55.7679,84.2,65,0,6.91,light rain
16,albany,US,42.6001,-73.9662,55.0,64,59,1.61,broken clouds
17,hobart,AU,-42.8794,147.3294,48.2,53,75,10.36,broken clouds
18,hasaki,JP,35.7333,140.8333,54.0,46,20,13.8,few clouds
19,homer,US,59.6425,-151.5483,18.0,32,1,11.5,clear sky
20,qinzhou,CN,21.95,108.6167,77.05,68,86,0.98,overcast clouds
21,vila,PT,42.0304,-8.1588,51.01,95,100,1.99,light rain
22,puerto ayora,EC,-0.7393,-90.3518,73.0,98,17,1.99,few clouds
23,soligalich,RU,59.0778,42.2864,44.69,63,1,12.95,clear sky
24,cayenne,GF,4.9333,-52.3333,75.0,100,75,3.8,broken clouds
25,sakakah,SA,29.9697,40.2064,66.2,34,0,12.66,clear sky
26,port alfred,ZA,-33.5906,26.891,70.47,73,43,4.09,scattered clouds
27,alekseyevsk,RU,57.8406,108.3492,23.58,68,100,6.89,overcast clouds
28,rikitea,PF,-23.1203,-134.9692,77.92,77,47,10.6,light rain
29,narsaq,GL,60.9167,-46.05,35.6,80,90,3.44,overcast clouds
30,zheleznodorozhnyy,RU,55.7503,38.0042,48.2,34,0,13.42,clear sky
31,labuhan,ID,-6.8844,112.2051,85.77,69,77,4.65,broken clouds
32,georgetown,MY,5.4112,100.3354,91.4,70,40,5.75,scattered clouds
33,salym,RU,60.0625,71.4789,39.24,98,100,7.87,overcast clouds
34,atuona,PF,-9.8,-139.0333,81.09,73,52,19.17,broken clouds
35,avarua,CK,-21.2078,-159.775,75.2,100,83,2.3,broken clouds
36,celestun,MX,20.8667,-90.4,79.27,69,0,15.84,clear sky
37,moissala,TD,8.3404,17.7663,92.35,34,100,4.79,overcast clouds
38,shawville,CA,45.6001,-76.4827,52.0,76,14,5.88,few clouds
39,bluff,NZ,-46.6,168.3333,55.0,91,97,3.0,overcast clouds
40,saldanha,ZA,-33.0117,17.9442,66.2,82,100,5.48,overcast clouds
41,upernavik,GL,72.7868,-56.1549,11.44,93,100,11.5,overcast clouds
42,filadelfia,US,39.9523,-75.1638,52.0,87,90,4.61,heavy intensity rain
43,meulaboh,ID,4.1363,96.1285,85.28,70,68,6.91,broken clouds
44,fortuna,US,40.5982,-124.1573,46.99,81,90,9.22,overcast clouds
45,thessalon,CA,46.2501,-83.5666,44.6,100,90,2.08,mist
46,shimoda,JP,34.6667,138.95,53.6,58,20,12.66,few clouds
47,omutninsk,RU,58.67,52.1932,42.21,74,91,3.13,overcast clouds
48,ha giang,VN,22.8333,104.9833,69.31,98,100,3.24,overcast clouds
49,qaanaaq,GL,77.484,-69.3632,18.48,88,100,7.02,overcast clouds
50,mangochi,MW,-14.4782,35.2645,73.35,71,100,7.61,overcast clouds
51,castro,BR,-24.7911,-50.0119,56.44,81,16,2.57,few clouds
52,jamestown,US,42.097,-79.2353,52.0,93,1,13.8,clear sky
53,mount gambier,AU,-37.8333,140.7667,51.8,76,40,17.27,light rain
54,margate,GB,51.3813,1.3862,44.01,78,100,3.0,overcast clouds
55,busselton,AU,-33.65,115.3333,75.99,42,0,5.99,clear sky
56,chanute,US,37.6792,-95.4572,48.2,93,90,13.8,overcast clouds
57,shaunavon,CA,49.6501,-108.4181,33.8,51,72,8.05,broken clouds
58,ribeira grande,PT,38.5167,-28.7,59.0,94,40,18.41,scattered clouds
59,carnarvon,AU,-24.8667,113.6333,96.8,38,75,17.27,broken clouds
60,rincon de romos,MX,22.2333,-102.3,61.12,22,0,3.4,clear sky
61,northam,GB,51.0333,-4.2167,44.01,1,18,1.01,few clouds
62,maua,BR,-23.6678,-46.4614,66.2,72,0,5.75,clear sky
63,huarmey,PE,-10.0681,-78.1522,68.43,90,100,5.48,overcast clouds
64,sinop,TR,41.7711,34.8709,35.73,93,100,10.45,light rain
65,okakarara,NA,-20.5833,17.4333,71.8,36,0,8.84,clear sky
66,port hedland,AU,-20.3167,118.5667,89.6,62,63,13.8,broken clouds
67,new norfolk,AU,-42.7826,147.0587,46.0,72,35,4.0,scattered clouds
68,la ronge,CA,55.1001,-105.2842,32.0,74,100,2.3,overcast clouds
69,chokurdakh,RU,70.6333,147.9167,-11.74,94,15,7.74,few clouds
70,butaritari,KI,3.0707,172.7902,82.54,74,100,12.41,overcast clouds
71,hovd,MN,48.0056,91.6419,42.01,37,100,12.48,overcast clouds
72,matara,LK,5.9485,80.5353,86.61,60,22,8.7,few clouds
73,bredasdorp,ZA,-34.5322,20.0403,75.2,50,100,4.61,overcast clouds
74,vaini,TO,-21.2,-175.2,73.4,88,20,4.61,few clouds
75,souillac,MU,-20.5167,57.5167,82.4,74,75,12.66,broken clouds
76,latung,PH,5.5,120.8833,83.46,69,62,3.85,moderate rain
77,bengkulu,ID,-3.8004,102.2655,82.65,81,97,9.84,overcast clouds
78,sao felix do xingu,BR,-6.6447,-51.995,69.6,93,28,0.94,scattered clouds
79,luderitz,NA,-26.6481,15.1594,86.0,34,1,7.38,clear sky
80,khatanga,RU,71.9667,102.5,15.1,77,17,9.95,few clouds
81,muros,ES,42.7762,-9.0603,57.0,94,100,6.53,overcast clouds
82,caravelas,BR,-17.7125,-39.2481,71.91,89,9,4.18,clear sky
83,rundu,NA,-17.9333,19.7667,75.18,30,0,7.4,clear sky
84,talnakh,RU,69.4865,88.3972,31.21,90,100,18.86,overcast clouds
85,lompoc,US,34.6391,-120.4579,48.2,87,25,6.91,scattered clouds
86,sabzevar,IR,36.2126,57.6819,84.2,18,20,6.91,few clouds
87,buta,CD,2.7858,24.73,88.83,45,97,3.15,overcast clouds
88,thompson,CA,55.7435,-97.8558,28.4,86,75,2.3,broken clouds
89,katsuura,JP,35.1333,140.3,55.99,54,20,16.11,few clouds
90,hilo,US,19.7297,-155.09,68.0,83,90,10.36,light rain
91,storm lake,US,42.6411,-95.2097,44.6,93,90,12.66,overcast clouds
92,xuanzhou,CN,30.9525,118.7553,67.48,46,99,14.63,overcast clouds
93,karratha,AU,-20.7377,116.8463,87.3,65,100,18.63,overcast clouds
94,almaznyy,RU,48.0448,40.045,50.0,46,0,15.66,clear sky
95,hamilton,US,39.1834,-84.5333,62.6,51,40,6.91,scattered clouds
96,jardim,BR,-21.4803,-56.1381,73.09,56,6,3.13,clear sky
97,mahebourg,MU,-20.4081,57.7,82.4,74,75,12.66,broken clouds
98,guerrero negro,MX,27.9769,-114.0611,58.12,88,82,13.42,broken clouds
99,lahan,NP,26.7296,86.4951,103.26,6,0,19.06,clear sky
100,buala,SB,-8.145,159.5921,80.17,81,95,1.03,overcast clouds
101,zeya,RU,53.75,127.2667,36.34,98,100,7.09,overcast clouds
102,bethel,US,41.3712,-73.414,50.0,89,99,3.36,overcast clouds
103,kaitangata,NZ,-46.2817,169.8464,54.1,94,99,4.76,overcast clouds
104,nikolskoye,RU,59.7035,30.7861,46.4,53,40,20.13,light rain
105,lavrentiya,RU,65.5833,-171.0,-6.05,97,100,8.9,overcast clouds
106,padang,ID,-0.9492,100.3543,87.8,70,20,6.91,few clouds
107,kodiak,US,57.79,-152.4072,28.4,59,90,3.44,overcast clouds
108,chikwawa,MW,-16.0335,34.8009,73.4,60,40,9.22,scattered clouds
109,presidencia roque saenz pena,AR,-26.7852,-60.4388,78.01,84,7,1.99,clear sky
110,sayyan,YE,15.1718,44.3244,72.0,11,18,1.39,few clouds
111,potosi,BO,-19.5836,-65.7531,44.44,85,7,3.11,clear sky
112,dicabisagan,PH,17.0818,122.4157,78.67,77,74,9.44,broken clouds
113,east london,ZA,-33.0153,27.9116,69.8,88,20,5.75,few clouds
